[2025-05-25T09:06:27.203+0000] {processor.py:186} INFO - Started process (PID=93) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-05-25T09:06:27.204+0000] {processor.py:914} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2025-05-25T09:06:27.206+0000] {logging_mixin.py:190} INFO - [2025-05-25T09:06:27.206+0000] {dagbag.py:588} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-05-25T09:06:27.795+0000] {processor.py:925} INFO - DAG(s) 'consume_1_and_2_with_dataset_expressions', 'dataset_consumes_1_never_scheduled', 'dataset_consumes_unknown_never_scheduled', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_produces_1', 'consume_1_or_2_with_dataset_expressions', 'dataset_consumes_1_and_2', 'dataset_produces_2', 'dataset_consumes_1', 'conditional_dataset_and_time_based_timetable' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-05-25T09:06:27.838+0000] {logging_mixin.py:190} INFO - [2025-05-25T09:06:27.837+0000] {dag.py:3239} INFO - Sync 10 DAGs
[2025-05-25T09:06:27.866+0000] {logging_mixin.py:190} INFO - [2025-05-25T09:06:27.865+0000] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2025-05-21 01:00:00+00:00, run_after=2025-05-21 01:00:00+00:00
[2025-05-25T09:06:27.870+0000] {logging_mixin.py:190} INFO - [2025-05-25T09:06:27.869+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2025-05-25T09:06:27.871+0000] {logging_mixin.py:190} INFO - [2025-05-25T09:06:27.871+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2025-05-25T09:06:27.872+0000] {logging_mixin.py:190} INFO - [2025-05-25T09:06:27.872+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2025-05-25T09:06:27.873+0000] {logging_mixin.py:190} INFO - [2025-05-25T09:06:27.873+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2025-05-25T09:06:27.874+0000] {logging_mixin.py:190} INFO - [2025-05-25T09:06:27.874+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2025-05-25T09:06:27.876+0000] {logging_mixin.py:190} INFO - [2025-05-25T09:06:27.875+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2025-05-25T09:06:27.877+0000] {logging_mixin.py:190} INFO - [2025-05-25T09:06:27.877+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2025-05-25T09:06:27.879+0000] {logging_mixin.py:190} INFO - [2025-05-25T09:06:27.879+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2025-05-24 00:00:00+00:00, run_after=2025-05-25 00:00:00+00:00
[2025-05-25T09:06:27.880+0000] {logging_mixin.py:190} INFO - [2025-05-25T09:06:27.880+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2025-05-25T09:06:27.910+0000] {processor.py:208} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.713 seconds
